SystemTime,ipAdress,symmetric,multiPointRelay,multiPointRelaySelector,willingness,twoHopNeighborCount
1466418476,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418476,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418507,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418507,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418532,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418532,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418564,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418564,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418595,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418595,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418626,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418626,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418683,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418683,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418714,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418714,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418766,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418766,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418776,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418776,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418802,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418802,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418833,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418833,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418864,10.0.0.5,TRUE,TRUE,FALSE,3,3
1466418864,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418895,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418895,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418926,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418926,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418952,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418952,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466418983,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466418983,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419014,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419014,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419045,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419045,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419076,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419076,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419102,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419102,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419133,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419133,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419165,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419165,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419196,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419196,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419227,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419227,10.0.0.3,TRUE,TRUE,FALSE,3,3
1466419253,10.0.0.5,TRUE,TRUE,FALSE,3,2
1466419253,10.0.0.3,TRUE,TRUE,FALSE,3,3
