SystemTime,ipAdress,symmetric,multiPointRelay,multiPointRelaySelector,willingness,twoHopNeighborCount
1466418474,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418505,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418536,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418562,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418593,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418624,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466418655,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418686,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418712,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418743,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418774,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418805,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418836,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418862,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466418893,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466418924,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466418955,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466418986,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419012,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419043,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419074,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419105,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419136,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419162,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419193,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419224,10.0.0.3,FALSE,FALSE,FALSE,3,4
1466419224,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419255,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419286,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419312,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419343,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419374,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419405,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419436,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419462,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419493,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419524,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419555,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419586,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419612,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419643,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419674,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419705,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419736,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419762,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419793,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419824,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419855,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419886,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419912,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419943,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466419974,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420006,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420037,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420063,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420094,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420125,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420156,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420187,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420213,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420244,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420275,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420306,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420337,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420363,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420394,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420425,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420456,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420513,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420544,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420575,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420606,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420637,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420663,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420694,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420725,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420756,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420787,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420813,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420844,10.0.0.2,TRUE,TRUE,FALSE,3,2
1466420875,10.0.0.2,TRUE,TRUE,FALSE,3,1
1466420906,10.0.0.2,TRUE,TRUE,FALSE,3,1
